time_step,computation_time,tracking_error,Y_trajectory,X_trajectory,status_step,velocity_result
89,0.23569059371948242,[-0.02  0.    0.01],0.0960886941751058,-0.07717219512275547,Maximum_Iterations_Exceeded,0.16909603606345472
90,0.24315500259399414,[-0.02  0.    0.01],0.09608875112075131,-0.07717211015328934,Maximum_Iterations_Exceeded,0.16021434590742703
91,0.24135661125183105,[-0.02  0.    0.01],0.09608880355964139,-0.07717203483776826,Maximum_Iterations_Exceeded,0.15177072410766348
92,0.23930668830871582,[-0.02  0.    0.01],0.09608885107356084,-0.07717196850942488,Maximum_Iterations_Exceeded,0.14374435557080878
93,0.2425858974456787,[-0.02  0.    0.01],0.09608889338515018,-0.07717191044471061,Maximum_Iterations_Exceeded,0.13611555750735566
94,0.2457582950592041,[-0.02  0.    0.01],0.09608893034465472,-0.0771718598969117,Maximum_Iterations_Exceeded,0.12886569248653498
95,0.25527215003967285,[-0.02  0.    0.01],0.09608896191566496,-0.07717181612183449,Maximum_Iterations_Exceeded,0.12197708626266493
96,0.24961185455322266,[-0.02  0.    0.01],0.0960889881603508,-0.07717177839684879,Maximum_Iterations_Exceeded,0.11543295169270444
97,0.23235416412353516,[-0.02  0.    0.01],0.09608900922464478,-0.07717174603444395,Maximum_Iterations_Exceeded,0.10921731945364871
98,0.24579358100891113,[-0.02  0.    0.01],0.0960890253237561,-0.07717171839131973,Maximum_Iterations_Exceeded,0.10331497579910161
99,0.24883604049682617,[-0.02  0.    0.01],0.09608903672833012,-0.07717169487390285,Maximum_Iterations_Exceeded,0.09771140724723666
